order_id,customer_id,order_date,status,region_code
O00061,C0280,2025-09-04,SHIPPED,WEST
O00062,C0053,2025-02-18,SHIPPED,EAST
O00063,C0448,2026-06-13,PLACED,WEST
O00064,C0135,2025-09-23,DELIVERED,NORTH
O00065,C0225,2026-04-25,PLACED,SOUTH
O00066,C0108,2026-04-10,RETURNED,EAST
O00067,C0441,2025-10-22,RETURNED,WEST
O00068,C0085,2025-02-12,RETURNED,SOUTH
O00069,C0402,2026-01-23,SHIPPED,SOUTH
O00070,C0413,2025-07-11,PLACED,EAST
O00071,C0273,2025-05-21,DELIVERED,SOUTH
O00072,C0166,2025-10-13,DELIVERED,EAST
O00073,C0294,2025-08-12,DELIVERED,NORTH
O00074,C0070,2026-03-23,CANCELLED,NORTH
O00075,C0142,2025-02-06,SHIPPED,SOUTH
O00076,C0128,2026-03-13,SHIPPED,EAST
O00077,C0425,2025-04-22,SHIPPED,WEST
O00078,C0251,2026-03-27,SHIPPED,EAST
O00079,C0322,2025-07-24,CANCELLED,WEST
O00080,C0232,2026-01-13,PLACED,NORTH
O00081,C0207,2025-07-25,RETURNED,EAST
O00082,C0356,2026-06-29,DELIVERED,WEST
O00083,C0487,2025-10-31,CANCELLED,EAST
O00084,C0298,2026-06-02,PLACED,NORTH
O00085,C0375,2024-08-23,CANCELLED,EAST
O00086,C0436,2025-08-11,PLACED,WEST
O00087,C0112,2024-10-31,CANCELLED,SOUTH
O00088,C0254,2025-02-18,DELIVERED,EAST
O00089,C0425,2024-09-23,DELIVERED,EAST
O00090,C0281,2025-05-26,RETURNED,SOUTH
O00091,C0290,2025-12-07,CANCELLED,EAST
O00092,C0458,2026-04-06,PLACED,NORTH
O00093,C0051,2025-01-20,CANCELLED,NORTH
O00094,C0064,2026-01-09,SHIPPED,WEST
O00095,C0234,2026-01-28,PLACED,WEST
O00096,C0104,2025-01-27,SHIPPED,EAST
O00097,C0082,2026-04-15,DELIVERED,NORTH
O00098,C0336,2025-04-04,DELIVERED,EAST
O00099,C0043,2025-06-18,DELIVERED,SOUTH
O00100,C0027,2025-05-03,CANCELLED,EAST
O00101,C0372,2025-09-07,SHIPPED,WEST
O00102,C0336,2025-09-22,PLACED,NORTH
O00103,C0001,2024-08-09,SHIPPED,WEST
O00104,C0040,2026-01-28,SHIPPED,SOUTH
O00105,C0266,2026-05-10,CANCELLED,NORTH
O00106,C0005,2025-02-22,DELIVERED,NORTH
O00107,C0441,2025-02-10,CANCELLED,SOUTH
O00108,C0245,2025-03-13,PLACED,SOUTH
O00109,C0197,2024-10-13,PLACED,NORTH
O00110,C0053,2025-06-07,DELIVERED,EAST
O00111,C0452,2026-01-07,DELIVERED,SOUTH
O00112,C0196,2026-03-06,SHIPPED,SOUTH
O00113,C0036,2026-05-01,RETURNED,NORTH
O00114,C0313,2025-04-24,SHIPPED,WEST
O00115,C0180,2024-09-30,SHIPPED,SOUTH
O00116,C0471,2025-10-06,CANCELLED,WEST
O00117,C0441,2026-07-26,SHIPPED,NORTH
O00118,C0460,2024-12-18,PLACED,SOUTH
O00119,C0386,2025-08-07,PLACED,WEST
O00120,C0180,2025-04-02,CANCELLED,EAST
O00121,C0406,2025-05-03,SHIPPED,SOUTH
O00122,C0142,2025-01-18,PLACED,SOUTH
O00123,C0284,2026-06-27,RETURNED,EAST
O00124,C0399,2025-10-21,PLACED,EAST
O00125,C0106,2025-02-26,RETURNED,SOUTH
O00126,C0383,2024-12-21,CANCELLED,EAST
O00127,C0331,2026-03-04,PLACED,SOUTH
O00128,C0254,2026-01-14,CANCELLED,NORTH
O00129,C0124,2026-07-25,CANCELLED,NORTH
O00130,C0271,2026-07-09,PLACED,EAST
O00131,C0479,2024-12-27,DELIVERED,SOUTH
O00132,C0199,2025-08-24,RETURNED,WEST
O00133,C0188,2026-02-25,RETURNED,SOUTH
O00134,C0391,2025-01-04,CANCELLED,NORTH
O00135,C0009,2025-01-31,RETURNED,NORTH
O00136,C0008,2026-02-24,DELIVERED,SOUTH
O00137,C0021,2025-02-06,PLACED,WEST
O00138,C0260,2026-06-10,DELIVERED,WEST
O00139,C0217,2025-02-24,CANCELLED,NORTH
O00140,C0328,2025-01-09,RETURNED,SOUTH
O00141,C0143,2025-01-27,PLACED,EAST
O00142,C0041,2025-01-06,RETURNED,SOUTH
O00143,C0499,2026-05-12,SHIPPED,EAST
O00144,C0201,2025-02-11,RETURNED,NORTH
O00145,C0159,2026-05-13,CANCELLED,SOUTH
O00146,C0030,2025-11-25,SHIPPED,NORTH
O00147,C0474,2025-05-05,CANCELLED,NORTH
O00148,C0233,2024-12-01,RETURNED,NORTH
O00149,C0159,2026-03-30,SHIPPED,NORTH
O00150,C0007,2024-10-23,SHIPPED,NORTH
O00151,C0084,2024-11-03,CANCELLED,EAST
O00152,C0268,2026-07-17,RETURNED,EAST
O00153,C0086,2024-10-01,DELIVERED,SOUTH
O00154,C0384,2026-01-08,DELIVERED,NORTH
O00155,C0395,2025-12-30,PLACED,EAST
O00156,C0414,2025-08-19,CANCELLED,EAST
O00157,C0269,2025-11-21,PLACED,EAST
O00158,C0365,2024-08-07,RETURNED,NORTH
O00159,C0255,2026-03-18,CANCELLED,EAST
O00160,C0029,2026-05-29,CANCELLED,SOUTH
O00161,C0189,2025-09-26,SHIPPED,EAST
O00162,C0396,2024-09-03,PLACED,NORTH
O00163,C0117,2026-05-22,RETURNED,NORTH
O00164,C0023,2025-08-11,PLACED,SOUTH
O00165,C0024,2025-05-17,CANCELLED,EAST
O00166,C0197,2025-11-27,SHIPPED,SOUTH
O00167,C0477,2025-04-03,PLACED,WEST
O00168,C0115,2025-08-19,DELIVERED,SOUTH
O00169,C0214,2026-06-30,DELIVERED,EAST
O00170,C0423,2026-06-17,PLACED,EAST
O00171,C0062,2026-06-29,RETURNED,NORTH
O00172,C0092,2025-10-22,SHIPPED,NORTH
O00173,C0489,2026-06-07,CANCELLED,NORTH
O00174,C0450,2025-03-03,CANCELLED,EAST
O00175,C0397,2025-08-18,DELIVERED,EAST
O00176,C0045,2024-12-22,RETURNED,WEST
O00177,C0005,2026-03-18,DELIVERED,SOUTH
O00178,C0150,2026-07-14,RETURNED,EAST
O00179,C0379,2025-09-03,RETURNED,SOUTH
O00180,C0238,2025-03-07,DELIVERED,WEST
O00181,C0396,2025-06-07,SHIPPED,SOUTH
O00182,C0078,2025-01-21,PLACED,WEST
O00183,C0013,2026-03-07,SHIPPED,EAST
O00184,C0326,2025-10-23,PLACED,EAST
O00185,C0001,2024-11-09,CANCELLED,EAST
O00186,C0054,2024-09-13,SHIPPED,SOUTH
O00187,C0215,2025-09-14,CANCELLED,NORTH
O00188,C0498,2026-04-14,SHIPPED,EAST
O00189,C0048,2025-06-26,PLACED,SOUTH
O00190,C0460,2025-08-08,RETURNED,WEST
O00191,C0359,2026-08-01,DELIVERED,WEST
O00192,C0499,2025-09-26,PLACED,NORTH
O00193,C0259,2024-08-27,SHIPPED,WEST
O00194,C0039,2025-08-27,RETURNED,NORTH
O00195,C0223,2025-04-28,SHIPPED,SOUTH
O00196,C0150,2025-06-03,DELIVERED,EAST
O00197,C0475,2026-06-01,CANCELLED,EAST
O00198,C0163,2026-01-17,CANCELLED,EAST
O00199,C0120,2026-03-27,PLACED,SOUTH
O00200,C0070,2024-12-15,RETURNED,NORTH
O00201,C0080,2025-07-23,PLACED,SOUTH
O00202,C0231,2024-11-03,CANCELLED,EAST
O00203,C0209,2026-01-26,PLACED,EAST
O00204,C0494,2025-09-08,SHIPPED,WEST
O00205,C0158,2025-07-25,CANCELLED,EAST
O00206,C0437,2025-04-04,PLACED,NORTH
O00207,C0081,2026-01-19,DELIVERED,NORTH
O00208,C0111,2024-08-08,DELIVERED,SOUTH
O00209,C0047,2024-08-11,SHIPPED,EAST
O00210,C0203,2026-01-07,RETURNED,NORTH
O00211,C0347,2025-01-12,DELIVERED,EAST
O00212,C0420,2025-05-23,SHIPPED,NORTH
O00213,C0488,2025-10-27,CANCELLED,WEST
O00214,C0285,2024-10-19,RETURNED,SOUTH
O00215,C0049,2025-04-11,CANCELLED,NORTH
O00216,C0412,2025-05-09,SHIPPED,NORTH
O00217,C0007,2025-11-20,PLACED,SOUTH
O00218,C0067,2026-06-02,SHIPPED,WEST
O00219,C0191,2025-02-19,PLACED,EAST
O00220,C0470,2024-12-25,PLACED,NORTH
O00221,C0034,2025-10-02,SHIPPED,WEST
O00222,C0415,2025-02-22,SHIPPED,NORTH
O00223,C0464,2025-02-02,DELIVERED,NORTH
O00224,C0022,2025-02-27,CANCELLED,NORTH
O00225,C0087,2025-08-03,RETURNED,WEST
O00226,C0421,2025-11-21,CANCELLED,WEST
O00227,C0016,2025-04-25,CANCELLED,WEST
O00228,C0089,2025-05-13,DELIVERED,SOUTH
O00229,C0466,2024-12-22,SHIPPED,EAST
O00230,C0144,2025-08-24,CANCELLED,SOUTH
O00231,C0018,2025-06-27,RETURNED,SOUTH
O00232,C0332,2025-01-12,DELIVERED,WEST
O00233,C0211,2025-06-23,RETURNED,WEST
O00234,C0032,2026-01-28,PLACED,EAST
O00235,C0197,2026-03-09,SHIPPED,WEST
O00236,C0103,2025-05-18,RETURNED,SOUTH
O00237,C0323,2025-05-12,RETURNED,NORTH
O00238,C0196,2026-05-27,DELIVERED,WEST
O00239,C0279,2025-06-09,CANCELLED,EAST
O00240,C0468,2025-03-07,RETURNED,EAST
O00241,C0199,2025-07-18,DELIVERED,SOUTH
O00242,C0014,2024-12-19,DELIVERED,SOUTH
O00243,C0016,2025-10-19,DELIVERED,NORTH
O00244,C0415,2024-11-11,CANCELLED,EAST
O00245,C0393,2025-10-23,RETURNED,SOUTH
O00246,C0499,2026-01-16,SHIPPED,NORTH
O00247,C0127,2025-01-26,SHIPPED,EAST
O00248,C0274,2026-04-26,PLACED,SOUTH
O00249,C0295,2024-10-18,CANCELLED,EAST
O00250,C0479,2026-02-12,SHIPPED,SOUTH
O00251,C0122,2025-02-27,RETURNED,EAST
O00252,C0413,2026-04-18,DELIVERED,NORTH
O00253,C0361,2025-02-01,DELIVERED,SOUTH
O00254,C0289,2025-10-07,SHIPPED,WEST
O00255,C0278,2025-07-03,DELIVERED,SOUTH
O00256,C0252,2026-05-29,PLACED,NORTH
O00257,C0029,2025-05-24,SHIPPED,SOUTH
O00258,C0011,2025-01-01,RETURNED,WEST
O00259,C0001,2024-11-23,DELIVERED,SOUTH
O00260,C0413,2026-04-15,SHIPPED,EAST
O00261,C0368,2026-02-26,SHIPPED,EAST
O00262,C0031,2024-11-26,PLACED,SOUTH
O00263,C0301,2025-08-04,SHIPPED,NORTH
O00264,C0434,2026-04-19,RETURNED,EAST
O00265,C0492,2024-08-09,PLACED,EAST
O00266,C0361,2024-12-17,CANCELLED,NORTH
O00267,C0173,2025-06-25,DELIVERED,EAST
O00268,C0070,2025-08-25,SHIPPED,WEST
O00269,C0406,2024-11-14,CANCELLED,EAST
O00270,C0090,2026-06-26,RETURNED,EAST
O00271,C0115,2026-05-23,RETURNED,SOUTH
O00272,C0194,2025-12-04,DELIVERED,EAST
O00273,C0066,2025-09-07,SHIPPED,NORTH
O00274,C0486,2025-09-20,RETURNED,WEST
O00275,C0436,2026-02-12,RETURNED,NORTH
O00276,C0094,2025-04-04,RETURNED,EAST
O00277,C0472,2026-04-03,RETURNED,SOUTH
O00278,C0328,2025-08-14,RETURNED,NORTH
O00279,C0480,2025-03-23,CANCELLED,SOUTH
O00280,C0170,2025-02-12,PLACED,SOUTH
O00281,C0178,2025-10-12,DELIVERED,SOUTH
O00282,C0326,2026-05-30,PLACED,EAST
O00283,C0229,2025-10-17,PLACED,EAST
O00284,C0108,2024-09-08,SHIPPED,NORTH
O00285,C0180,2025-06-07,DELIVERED,NORTH
O00286,C0369,2024-10-17,PLACED,NORTH
O00287,C0198,2026-01-20,CANCELLED,WEST
O00288,C0497,2024-12-06,SHIPPED,WEST
O00289,C0253,2024-09-17,CANCELLED,EAST
O00290,C0280,2025-01-16,CANCELLED,NORTH
O00291,C0425,2026-04-26,CANCELLED,SOUTH
O00292,C0084,2025-02-15,CANCELLED,NORTH
O00293,C0410,2025-08-07,PLACED,EAST
O00294,C0011,2026-05-15,DELIVERED,EAST
O00295,C0488,2025-12-04,PLACED,NORTH
O00296,C0176,2024-10-15,SHIPPED,WEST
O00297,C0083,2025-07-17,PLACED,NORTH
O00298,C0174,2026-03-03,RETURNED,WEST
O00299,C0361,2025-04-18,PLACED,WEST
O00300,C0483,2025-02-19,SHIPPED,WEST
O00301,C0081,2025-05-09,PLACED,NORTH
O00302,C0170,2025-05-08,SHIPPED,SOUTH
O00303,C0210,2025-10-11,RETURNED,EAST
O00304,C0339,2025-10-09,DELIVERED,EAST
O00305,C0122,2026-07-26,PLACED,NORTH
O00306,C0202,2026-04-23,RETURNED,WEST
O00307,C0079,2025-02-18,PLACED,EAST
O00308,C0002,2025-04-26,CANCELLED,NORTH
O00309,C0151,2024-08-17,RETURNED,WEST
O00310,C0103,2025-06-17,PLACED,NORTH
O00311,C0106,2024-11-04,SHIPPED,EAST
O00312,C0042,2025-05-01,CANCELLED,NORTH
O00313,C0158,2026-06-06,CANCELLED,WEST
O00314,C0251,2026-01-11,DELIVERED,NORTH
O00315,C0329,2025-11-15,RETURNED,WEST
O00316,C0095,2025-01-03,DELIVERED,WEST
O00317,C0190,2025-10-24,SHIPPED,WEST
O00318,C0023,2025-10-23,DELIVERED,WEST
O00319,C0239,2025-12-19,DELIVERED,SOUTH
O00320,C0429,2025-12-19,DELIVERED,NORTH
O00321,C0078,2025-09-24,PLACED,NORTH
O00322,C0343,2024-12-15,DELIVERED,WEST
O00323,C0498,2026-03-31,RETURNED,SOUTH
O00324,C0284,2025-03-11,PLACED,WEST
O00325,C0420,2025-05-04,RETURNED,WEST
O00326,C0495,2025-04-11,RETURNED,WEST
O00327,C0294,2026-01-06,SHIPPED,WEST
O00328,C0154,2025-09-02,PLACED,WEST
O00329,C0463,2025-08-15,PLACED,SOUTH
O00330,C0062,2026-03-26,CANCELLED,SOUTH
O00331,C0486,2026-02-25,SHIPPED,SOUTH
O00332,C0414,2025-07-15,SHIPPED,SOUTH
O00333,C0022,2026-06-23,CANCELLED,NORTH
O00334,C0350,2024-10-01,CANCELLED,SOUTH
O00335,C0422,2025-05-24,SHIPPED,EAST
O00336,C0164,2025-11-21,PLACED,NORTH
O00337,C0199,2025-03-12,RETURNED,WEST
O00338,C0283,2025-07-28,DELIVERED,EAST
O00339,C0267,2025-12-05,CANCELLED,NORTH
O00340,C0403,2024-11-22,RETURNED,WEST
O00341,C0058,2026-06-07,CANCELLED,SOUTH
O00342,C0076,2024-12-10,RETURNED,NORTH
O00343,C0474,2025-12-12,PLACED,NORTH
O00344,C0403,2026-04-21,DELIVERED,EAST
O00345,C0450,2026-07-24,CANCELLED,EAST
O00346,C0197,2025-04-21,CANCELLED,WEST
O00347,C0020,2025-06-25,SHIPPED,EAST
O00348,C0207,2025-12-05,SHIPPED,WEST
O00349,C0020,2025-11-20,CANCELLED,EAST
O00350,C0354,2025-10-20,SHIPPED,NORTH
O00351,C0382,2025-06-12,CANCELLED,EAST
O00352,C0460,2026-05-23,DELIVERED,NORTH
O00353,C0173,2026-07-07,DELIVERED,EAST
O00354,C0144,2024-09-26,CANCELLED,NORTH
O00355,C0498,2024-10-02,SHIPPED,SOUTH
O00356,C0154,2024-12-05,CANCELLED,EAST
O00357,C0138,2025-04-25,CANCELLED,NORTH
O00358,C0097,2025-01-26,CANCELLED,SOUTH
O00359,C0468,2025-04-02,CANCELLED,WEST
O00360,C0389,2025-04-05,RETURNED,EAST
O00361,C0421,2025-12-22,PLACED,SOUTH
O00362,C0034,2025-03-16,DELIVERED,WEST
O00363,C0070,2026-02-04,RETURNED,NORTH
O00364,C0089,2025-02-25,SHIPPED,SOUTH
O00365,C0429,2025-11-15,PLACED,SOUTH
O00366,C0017,2025-12-15,CANCELLED,NORTH
O00367,C0471,2025-06-05,DELIVERED,SOUTH
O00368,C0141,2025-02-28,DELIVERED,WEST
O00369,C0259,2026-06-22,CANCELLED,NORTH
O00370,C0349,2025-07-13,PLACED,SOUTH
O00371,C0191,2026-03-31,CANCELLED,WEST
O00372,C0091,2026-06-03,CANCELLED,EAST
O00373,C0177,2026-08-01,SHIPPED,EAST
O00374,C0384,2025-05-11,PLACED,EAST
O00375,C0015,2026-03-05,CANCELLED,NORTH
O00376,C0084,2025-10-31,RETURNED,SOUTH
O00377,C0439,2025-09-10,SHIPPED,SOUTH
O00378,C0347,2025-07-17,SHIPPED,EAST
O00379,C0334,2025-06-19,CANCELLED,NORTH
O00380,C0443,2024-12-09,PLACED,WEST
O00381,C0467,2024-12-22,SHIPPED,SOUTH
O00382,C0308,2026-05-27,PLACED,SOUTH
O00383,C0130,2024-08-19,RETURNED,EAST
O00384,C0365,2024-11-07,DELIVERED,WEST
O00385,C0459,2026-02-18,CANCELLED,EAST
O00386,C0236,2025-01-31,DELIVERED,SOUTH
O00387,C0239,2025-12-29,DELIVERED,WEST
O00388,C0300,2025-02-13,PLACED,NORTH
O00389,C0262,2026-08-02,DELIVERED,EAST
O00390,C0153,2026-03-02,PLACED,WEST
O00391,C0033,2026-01-28,DELIVERED,EAST
O00392,C0328,2026-03-07,DELIVERED,EAST
O00393,C0134,2024-10-03,DELIVERED,SOUTH
O00394,C0077,2025-01-12,RETURNED,SOUTH
O00395,C0461,2024-12-09,PLACED,WEST
O00396,C0339,2025-06-06,DELIVERED,SOUTH
O00397,C0370,2024-10-21,PLACED,WEST
O00398,C0152,2024-10-15,DELIVERED,WEST
O00399,C0208,2024-09-20,CANCELLED,NORTH
O00400,C0299,2026-07-30,RETURNED,SOUTH
O00401,C0176,2026-06-15,SHIPPED,WEST
O00402,C0465,2025-08-04,DELIVERED,EAST
O00403,C0433,2025-10-01,SHIPPED,SOUTH
O00404,C0151,2024-09-12,PLACED,WEST
O00405,C0066,2024-08-22,DELIVERED,SOUTH
O00406,C0485,2026-03-23,DELIVERED,NORTH
O00407,C0114,2025-06-06,DELIVERED,SOUTH
O00408,C0382,2025-09-12,DELIVERED,WEST
O00409,C0404,2026-03-19,DELIVERED,EAST
O00410,C0134,2024-10-05,RETURNED,EAST
O00411,C0238,2024-10-21,PLACED,WEST
O00412,C0028,2025-02-21,RETURNED,NORTH
O00413,C0242,2025-11-25,SHIPPED,NORTH
O00414,C0445,2024-11-30,CANCELLED,EAST
O00415,C0212,2024-10-06,PLACED,SOUTH
O00416,C0071,2025-12-23,SHIPPED,EAST
O00417,C0210,2026-07-26,RETURNED,WEST
O00418,C0074,2026-06-20,DELIVERED,SOUTH
O00419,C0399,2025-05-31,PLACED,WEST
O00420,C0171,2025-03-30,SHIPPED,EAST
O00421,C0325,2025-01-27,PLACED,NORTH
O00422,C0232,2025-02-10,DELIVERED,SOUTH
O00423,C0390,2026-02-25,SHIPPED,SOUTH
O00424,C0251,2025-03-10,PLACED,SOUTH
O00425,C0315,2025-07-12,CANCELLED,WEST
O00426,C0207,2025-12-01,CANCELLED,WEST
O00427,C0197,2024-11-08,PLACED,NORTH
O00428,C0274,2024-11-11,SHIPPED,EAST
O00429,C0487,2025-09-15,PLACED,EAST
O00430,C0388,2026-05-15,RETURNED,SOUTH
O00431,C0010,2024-12-12,PLACED,SOUTH
O00432,C0116,2024-08-24,DELIVERED,EAST
O00433,C0067,2024-08-29,PLACED,WEST
O00434,C0258,2025-12-30,RETURNED,EAST
O00435,C0086,2025-05-06,PLACED,NORTH
O00436,C0153,2026-06-01,DELIVERED,WEST
O00437,C0373,2026-07-13,RETURNED,EAST
O00438,C0223,2025-04-11,SHIPPED,EAST
O00439,C0462,2026-06-04,CANCELLED,EAST
O00440,C0385,2025-08-06,SHIPPED,SOUTH
O00441,C0486,2025-07-30,CANCELLED,NORTH
O00442,C0117,2026-06-09,SHIPPED,SOUTH
O00443,C0109,2025-09-25,PLACED,SOUTH
O00444,C0064,2026-07-29,DELIVERED,NORTH
O00445,C0193,2025-03-01,DELIVERED,NORTH
O00446,C0305,2025-10-02,PLACED,NORTH
O00447,C0335,2025-07-13,PLACED,NORTH
O00448,C0354,2024-11-14,PLACED,WEST
O00449,C0228,2026-01-25,CANCELLED,NORTH
O00450,C0281,2025-09-24,DELIVERED,WEST
O00451,C0360,2024-12-17,SHIPPED,SOUTH
O00452,C0356,2025-11-03,PLACED,EAST
O00453,C0216,2025-11-09,PLACED,EAST
O00454,C0319,2025-07-22,RETURNED,SOUTH
O00455,C0215,2025-12-05,PLACED,NORTH
O00456,C0145,2026-03-06,PLACED,NORTH
O00457,C0255,2025-12-08,SHIPPED,SOUTH
O00458,C0399,2026-06-14,DELIVERED,SOUTH
O00459,C0184,2025-10-14,CANCELLED,EAST
O00460,C0083,2025-07-05,PLACED,WEST
O00461,C0467,2025-09-12,SHIPPED,WEST
O00462,C0170,2025-12-11,SHIPPED,NORTH
O00463,C0007,2025-12-11,PLACED,NORTH
O00464,C0428,2025-09-20,RETURNED,WEST
O00465,C0077,2025-03-30,PLACED,NORTH
O00466,C0371,2026-07-08,PLACED,EAST
O00467,C0330,2025-04-28,SHIPPED,WEST
O00468,C0152,2025-08-11,DELIVERED,WEST
O00469,C0026,2025-09-25,PLACED,SOUTH
O00470,C0448,2025-01-25,PLACED,EAST
O00471,C0185,2026-04-19,DELIVERED,WEST
O00472,C0379,2024-10-10,PLACED,NORTH
O00473,C0436,2025-07-11,PLACED,NORTH
O00474,C0437,2025-03-29,SHIPPED,SOUTH
O00475,C0169,2025-05-13,DELIVERED,WEST
O00476,C0490,2025-06-18,RETURNED,EAST
O00477,C0450,2025-02-19,PLACED,EAST
O00478,C0418,2024-11-30,DELIVERED,SOUTH
O00479,C0059,2025-03-25,CANCELLED,WEST
O00480,C0493,2024-08-10,CANCELLED,EAST
O00481,C0428,2024-08-02,CANCELLED,WEST
O00482,C0410,2025-09-12,CANCELLED,SOUTH
O00483,C0058,2026-04-27,SHIPPED,NORTH
O00484,C0483,2026-03-13,SHIPPED,NORTH
O00485,C0214,2026-05-22,RETURNED,WEST
O00486,C0411,2024-11-15,RETURNED,WEST
O00487,C0093,2025-04-26,RETURNED,WEST
O00488,C0399,2025-03-12,DELIVERED,NORTH
O00489,C0442,2025-08-01,SHIPPED,WEST
O00490,C0472,2025-09-21,CANCELLED,NORTH
O00491,C0455,2024-08-08,CANCELLED,WEST
O00492,C0024,2026-01-18,PLACED,EAST
O00493,C0336,2026-07-19,DELIVERED,NORTH
O00494,C0361,2025-08-19,RETURNED,SOUTH
O00495,C0490,2026-03-11,DELIVERED,NORTH
O00496,C0222,2025-08-07,SHIPPED,WEST
O00497,C0178,2025-03-22,CANCELLED,SOUTH
O00498,C0430,2024-08-09,RETURNED,NORTH
O00499,C0006,2026-03-19,SHIPPED,WEST
O00500,C0437,2025-07-02,CANCELLED,SOUTH
